                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.88796,                0.73948,                 1.0397,                0.81618,                0.87528,                0.86531,                0.68338,                0.82141,                0.76898,                0.91792,             0.00076409,             0.00076409,             0.00076409
                     49,                0.82974,                0.68299,                 1.0174,                0.80849,                0.88681,                0.87187,                0.67956,                0.81674,                0.74825,                0.91349,             0.00074994,             0.00074994,             0.00074994
                     50,                 0.8232,                  0.678,                  1.025,                0.80879,                0.88608,                0.87673,                0.69772,                0.83731,                0.84227,                0.93181,             0.00073579,             0.00073579,             0.00073579
                     51,                0.82908,                0.66812,                 1.0181,                0.83975,                0.76817,                0.87638,                0.69286,                0.85115,                 1.0564,                0.93015,             0.00072164,             0.00072164,             0.00072164
                     52,                0.82063,                0.66629,                 1.0191,                0.80009,                0.90454,                0.87225,                0.68239,                 0.8253,                0.76601,                 0.9121,              0.0007075,              0.0007075,              0.0007075
                     53,                0.80064,                0.65285,                 1.0078,                0.82464,                0.85436,                0.88242,                0.69255,                0.81485,                0.74931,                0.90779,             0.00069335,             0.00069335,             0.00069335
                     54,                0.81668,                0.65661,                 1.0158,                 0.8249,                0.88835,                0.86276,                0.66823,                0.83056,                0.76947,                0.92529,              0.0006792,              0.0006792,              0.0006792
                     55,                0.79144,                 0.6482,                  1.001,                0.81656,                0.89771,                0.87361,                0.68293,                0.84117,                0.75417,                 0.9261,             0.00066506,             0.00066506,             0.00066506
                     56,                0.80356,                 0.6582,                 1.0137,                0.82045,                0.89013,                0.88496,                0.69248,                0.82324,                 0.7553,                0.90604,             0.00065091,             0.00065091,             0.00065091
                     57,                 0.8087,                0.66148,                 1.0256,                0.81658,                0.87595,                  0.866,                0.68326,                0.84204,                0.76153,                0.90949,             0.00063676,             0.00063676,             0.00063676
                     58,                0.79346,                0.62937,                 1.0058,                0.80549,                0.90655,                0.86119,                0.68522,                0.81759,                0.77023,                0.90966,             0.00062262,             0.00062262,             0.00062262
                     59,                0.78409,                0.63723,                0.99903,                0.82236,                0.86261,                0.86906,                0.69378,                0.81794,                0.74332,                0.92703,             0.00060847,             0.00060847,             0.00060847
                     60,                0.78832,                0.64005,                 1.0093,                0.82916,                 0.8932,                0.88611,                0.69098,                0.81671,                0.76235,                0.91465,             0.00059432,             0.00059432,             0.00059432
                     61,                0.77937,                0.67102,                 1.0052,                0.81138,                0.87458,                0.87184,                0.69004,                0.79663,                0.73961,                0.90836,             0.00058017,             0.00058017,             0.00058017
                     62,                0.77235,                0.63385,                0.99946,                 0.8591,                0.85596,                0.87379,                0.68946,                0.80706,                0.73991,                0.91954,             0.00056603,             0.00056603,             0.00056603
                     63,                0.78212,                0.61809,                  1.007,                0.83018,                0.88043,                 0.8816,                 0.6914,                0.80125,                0.72847,                0.90845,             0.00055188,             0.00055188,             0.00055188
                     64,                0.77805,                0.61668,                0.99469,                0.84825,                0.85586,                0.87872,                0.69075,                0.82524,                 0.7414,                0.91186,             0.00053773,             0.00053773,             0.00053773
                     65,                0.77221,                0.62079,                0.99366,                0.80228,                0.88423,                0.88262,                0.69482,                0.82089,                 0.7302,                0.92566,             0.00052359,             0.00052359,             0.00052359
                     66,                0.77653,                0.61709,                 1.0076,                0.82592,                0.87843,                0.88715,                0.70345,                 0.8262,                0.71268,                0.93591,             0.00050944,             0.00050944,             0.00050944
                     67,                0.77027,                0.60918,                0.99817,                 0.8393,                0.86887,                0.87599,                0.68667,                0.81797,                 0.7492,                0.92305,             0.00049529,             0.00049529,             0.00049529
                     68,                0.80774,                0.79764,                 1.0199,                0.82342,                0.88001,                0.87753,                 0.6965,                0.79835,                0.72066,                0.91932,             0.00048114,             0.00048114,             0.00048114
                     69,                0.77617,                0.61528,                0.99776,                0.84901,                0.85795,                0.88463,                0.69568,                0.80774,                0.70944,                0.91962,               0.000467,               0.000467,               0.000467
                     70,                0.77282,                0.61121,                  1.004,                0.82377,                0.87332,                0.88088,                0.69286,                0.81406,                0.76192,                0.91857,             0.00045285,             0.00045285,             0.00045285
